tier,title,LS: Perception,LS: Input,LS: Organization,LS: Processing,LS: Understanding,CT,D,BT,P
ER11a_2_3,How to keep up to date,P:S,I:A,,Pr:A,U:S,image,general,remember,adaptable
ER11b_2_1,How to keep up to date,P:S,I:A,O:D,Pr:A,,text,deep,,adaptive
ER11b_2_2,How to keep up to date,P:I,I:V,O:D,Pr:A,,audio,general,,adaptive
ER11b_2_3,How to keep up to date,P:I,I:V,O:I,Pr:A,,audio,deep,apply,adaptive
ER11d_2_1,How to keep up to date,P:I,I:V,O:I,,U:S,video,deep,remember,adaptable
ER11d_2_2,How to keep up to date,P:I,I:V,O:D,Pr:R,U:S,text,general,,adaptable
ER11d_2_3,How to keep up to date,P:I,I:V,O:I,Pr:R,,video,deep,remember,adaptable
ER11d_2_4,How to keep up to date,P:S,I:A,O:I,Pr:R,U:S,audio,deep,create,adaptable
ER11e_2_1,How to keep up to date,P:S,I:A,O:D,Pr:A,U:S,audio,shallow,remember,none
ER11f_2_1,How to keep up to date,P:S,I:A,O:D,Pr:R,,audio,deep,create,adaptive
ER11f_2_2,How to keep up to date,P:I,I:V,,Pr:A,,text,shallow,apply,adaptive
ER11f_2_3,How to keep up to date,P:I,I:V,O:I,Pr:A,,text,deep,create,adaptive
ER11g_2_1,How to keep up to date,P:S,I:A,O:D,,,image,shallow,understand,adaptive
ER11g_2_2,How to keep up to date,P:S,I:A,O:I,Pr:R,U:G,website,shallow,evaluate,adaptive
ER11h_2_1,How to keep up to date,P:I,I:V,,Pr:A,,audio,general,create,adaptable
ER11h_2_2,How to keep up to date,P:S,I:A,O:D,Pr:A,,text,general,understand,adaptable
ER11i_2_1,How to keep up to date,P:I,I:V,O:I,Pr:A,U:S,image,deep,,adaptable
ER11i_2_2,How to keep up to date,P:I,I:V,O:I,Pr:R,U:G,video,general,apply,adaptable
ER11i_2_3,How to keep up to date,P:I,I:V,O:D,,U:S,video,general,apply,adaptable
ER11i_2_4,How to keep up to date,P:I,I:V,O:D,Pr:A,U:S,image,general,analyze,adaptable
ER11j_2_1,How to keep up to date,P:I,I:V,,Pr:R,U:G,audio,deep,understand,adaptable
ER11j_2_2,How to keep up to date,P:I,I:V,O:I,Pr:A,,website,shallow,,adaptable
ER11j_2_3,How to keep up to date,P:S,I:A,O:I,Pr:R,,audio,deep,,adaptable
ER11k_2_1,How to keep up to date,P:S,I:A,O:D,,,image,shallow,understand,adaptive
ER11k_2_2,How to keep up to date,P:S,I:A,,Pr:A,,website,deep,evaluate,adaptive
ER11l_2_1,How to keep up to date,P:S,I:A,,Pr:R,U:G,image,shallow,,adaptive
ER11l_2_2,How to keep up to date,P:S,I:A,O:D,Pr:A,U:S,text,deep,,adaptive
ER11n_2_1,How to keep up to date,P:S,I:A,O:D,Pr:A,U:S,text,general,remember,adaptive
ER11n_2_2,How to keep up to date,P:S,I:A,O:I,,,audio,shallow,remember,adaptive
ER11p_2_1,How to keep up to date,P:I,I:V,O:D,Pr:A,U:S,audio,shallow,analyze,none
ER11q_2_1,How to keep up to date,P:S,I:A,,Pr:R,U:S,text,general,evaluate,adaptable
ER11q_2_2,How to keep up to date,P:I,I:V,O:I,Pr:A,U:S,text,general,analyze,adaptable
