,label,bow_wt,bow_stem,bow_lem
334,inform,,2.0,
335,information,2.0,,2.0
336,inperson,2.0,2.0,2.0
337,input,1.0,1.0,1.0
338,instead,1.0,1.0,1.0
339,instruct,,4.0,
340,instruction,,,4.0
341,instructions,4.0,,
342,instructor,5.0,5.0,5.0
343,interest,1.0,1.0,1.0
344,intern,,1.0,
345,international,1.0,,1.0
346,introduct,,3.0,
347,introduction,3.0,,3.0
348,involv,,1.0,
349,involved,1.0,,1.0
350,issu,,1.0,
351,issue,1.0,,1.0
352,item,2.0,2.0,2.0
353,jacoco,1.0,1.0,1.0
354,januari,,4.0,
355,january,4.0,,4.0
356,javafxsampl,,1.0,
357,javafxsample,1.0,,1.0
358,junit,6.0,6.0,6.0
359,kind,1.0,2.0,2.0
360,kinds,1.0,,
361,know,2.0,2.0,2.0
362,lab,47.0,47.0,47.0
363,last,1.0,2.0,2.0
364,lasts,1.0,,
365,latest,1.0,1.0,1.0
366,learn,13.0,14.0,13.0
367,learning,1.0,,1.0
368,lectur,,15.0,
369,lecture,15.0,,15.0
370,librari,,1.0,
371,libraries,1.0,,
372,library,,,1.0
373,like,2.0,2.0,2.0
374,link,8.0,9.0,9.0
375,links,1.0,,
376,list,5.0,6.0,6.0
377,lists,1.0,,
378,local,2.0,2.0,2.0
379,login,3.0,3.0,3.0
380,longer,1.0,1.0,1.0
381,look,2.0,2.0,2.0
382,lot,1.0,1.0,1.0
383,made,1.0,1.0,1.0
384,main,2.0,2.0,2.0
385,make,5.0,7.0,5.0
386,making,2.0,,2.0
387,mani,,1.0,
388,manual,3.0,4.0,4.0
389,manuals,1.0,,
390,many,1.0,,1.0
391,map,,1.0,1.0
392,maps,1.0,,
393,mar,2.0,2.0,2.0
394,march,12.0,12.0,12.0
395,mark,2.0,3.0,3.0
396,marks,1.0,,
397,master,1.0,1.0,1.0
398,materi,,21.0,
399,material,21.0,,21.0
400,maven,2.0,2.0,2.0
401,may,4.0,4.0,4.0
402,meet,,7.0,
403,meeting,4.0,,7.0
404,meetings,3.0,,
405,member,1.0,4.0,4.0
406,members,3.0,,
407,merg,,3.0,
408,merge,1.0,,1.0
409,merges,1.0,,1.0
410,merging,1.0,,1.0
411,method,1.0,1.0,1.0
412,midterm,10.0,10.0,10.0
413,might,3.0,3.0,3.0
414,modifi,,1.0,
415,modified,1.0,,1.0
416,monday,9.0,11.0,11.0
417,mondays,2.0,,
418,much,1.0,1.0,1.0
419,musicxml,1.0,1.0,1.0
420,must,14.0,14.0,14.0
421,necessari,,1.0,
422,necessary,1.0,,1.0
423,need,1.0,1.0,1.0
424,new,3.0,3.0,3.0
425,next,6.0,6.0,6.0
426,nice,4.0,4.0,4.0
427,note,1.0,1.0,1.0
428,noth,,1.0,
429,nothing,1.0,,1.0
430,number,1.0,1.0,1.0
431,object,2.0,2.0,2.0
432,offici,,1.0,
433,official,1.0,,1.0
434,often,1.0,1.0,1.0
435,one,7.0,7.0,7.0
436,onlin,,6.0,
437,online,6.0,,6.0
438,oper,,1.0,
439,operation,,,1.0
440,operations,1.0,,
441,option,,2.0,
442,optional,2.0,,2.0
443,organ,,5.0,
444,organization,1.0,,1.0
445,organize,3.0,,3.0
446,organized,1.0,,1.0
447,origin,,1.0,
448,original,1.0,,1.0
449,outlin,,7.0,
450,outline,6.0,,6.0
451,outlined,1.0,,1.0
452,page,4.0,4.0,4.0
453,pars,,1.0,
454,parsing,1.0,,1.0
455,part,4.0,4.0,4.0
