,label,bow_wt,bow_stem,bow_lem
432,take,1.0,1.0,1.0
433,tas,1.0,,
434,task,4.0,12.0,12.0
435,tasks,8.0,,
436,team,4.0,4.0,4.0
437,teammat,,1.0,
438,teammate,,,1.0
439,teammates,1.0,,
440,test,,1.0,1.0
441,tests,1.0,,
442,text,1.0,1.0,1.0
443,third,1.0,1.0,1.0
444,three,1.0,1.0,1.0
445,token,3.0,4.0,4.0
446,tokens,1.0,,
447,tool,1.0,2.0,2.0
448,tools,1.0,,
449,truth,,1.0,1.0
450,truths,1.0,,
451,uncheck,1.0,1.0,1.0
452,uri,2.0,2.0,2.0
453,url,2.0,2.0,2.0
454,us,,,1.0
455,use,6.0,8.0,6.0
456,used,1.0,,1.0
457,useremail,1.0,1.0,1.0
458,usernam,,3.0,
459,username,2.0,,2.0
460,usernames,1.0,,1.0
461,uses,1.0,,
462,vagu,,2.0,
463,vague,2.0,,2.0
464,version,4.0,4.0,4.0
465,vertic,,1.0,
466,vertical,1.0,,1.0
467,view,1.0,1.0,1.0
468,visibl,,1.0,
469,visible,1.0,,1.0
470,want,2.0,2.0,2.0
471,wed,1.0,1.0,1.0
472,week,2.0,3.0,3.0
473,weeks,1.0,,
474,week…,1.0,1.0,1.0
475,whole,1.0,1.0,1.0
476,wiki,1.0,1.0,1.0
477,window,6.0,6.0,6.0
478,work,,1.0,
479,working,1.0,,1.0
480,workload,1.0,1.0,1.0
481,wrong,1.0,1.0,1.0
482,yet,1.0,1.0,1.0
483,york,1.0,1.0,1.0
484,’,3.0,3.0,3.0
485,“,5.0,5.0,5.0
486,”,5.0,5.0,5.0
