,label,bow_wt,bow_stem,bow_lem
380,monday,2.0,2.0,2.0
381,mother,4.0,4.0,4.0
382,movement,1.0,1.0,1.0
383,much,1.0,1.0,1.0
384,muscl,,1.0,
385,muscle,1.0,,1.0
386,music,2.0,3.0,2.0
387,musical,1.0,,1.0
388,necessari,,1.0,
389,necessarili,,1.0,
390,necessarily,1.0,,1.0
391,necessary,1.0,,1.0
392,need,5.0,5.0,5.0
393,newspap,,1.0,
394,newspaper,1.0,,1.0
395,next,5.0,5.0,5.0
396,nice,1.0,1.0,1.0
397,night,4.0,4.0,4.0
398,norma,1.0,1.0,1.0
399,note,,2.0,2.0
400,notes,2.0,,
401,noth,,3.0,
402,nothing,3.0,,3.0
403,notic,,1.0,
404,notice,1.0,,1.0
405,number,1.0,1.0,1.0
406,okay,7.0,7.0,7.0
407,one,2.0,2.0,2.0
408,onlin,,4.0,
409,online,4.0,,4.0
410,open,3.0,3.0,3.0
411,oppos,,2.0,
412,opposed,2.0,,2.0
413,optic,,1.0,
414,optical,1.0,,1.0
415,option,,3.0,
416,optional,3.0,,3.0
417,order,1.0,1.0,1.0
418,osment,1.0,1.0,1.0
419,outboard,1.0,1.0,1.0
420,output,1.0,1.0,1.0
421,overal,,1.0,
422,overall,1.0,,1.0
423,oxal,,1.0,
424,oxalate,1.0,,1.0
425,pari,,1.0,
426,paris,1.0,,1.0
427,park,1.0,1.0,1.0
428,part,3.0,3.0,3.0
429,parti,,1.0,
430,party,1.0,,1.0
431,peer,,1.0,1.0
432,peers,1.0,,
433,penal,,1.0,
434,penalized,1.0,,1.0
435,peopl,,1.0,
436,people,,,1.0
437,peoples,1.0,,
438,piano,1.0,1.0,1.0
439,pictur,,2.0,
440,picture,,,2.0
441,pictures,2.0,,
442,play,4.0,4.0,4.0
443,player,,1.0,1.0
444,players,1.0,,
445,point,4.0,4.0,4.0
446,possibl,,2.0,
447,possible,2.0,,2.0
448,post,,1.0,
449,posted,1.0,,1.0
450,present,,1.0,1.0
451,presents,1.0,,
452,preview,3.0,3.0,3.0
453,price,1.0,1.0,1.0
454,probabl,,2.0,
455,probably,2.0,,2.0
456,produc,,1.0,
457,produce,,,1.0
458,produces,1.0,,
459,program,1.0,1.0,1.0
460,programmat,,1.0,
461,programmatically,1.0,,1.0
462,project,3.0,3.0,3.0
463,purpos,,1.0,
464,purpose,1.0,,1.0
465,put,2.0,3.0,2.0
466,putting,1.0,,1.0
467,question,6.0,15.0,15.0
468,questions,9.0,,
469,quick,1.0,1.0,1.0
470,quickli,,2.0,
471,quickly,2.0,,2.0
472,raptur,,1.0,
473,rapture,1.0,,1.0
474,read,1.0,1.0,1.0
475,readi,,3.0,
476,ready,3.0,,3.0
477,real,1.0,1.0,1.0
478,realiz,,1.0,
479,realize,1.0,,1.0
480,realli,,5.0,
481,really,5.0,,5.0
482,recommend,1.0,1.0,1.0
483,record,,1.0,
484,recording,1.0,,1.0
485,regard,,3.0,3.0
486,regards,3.0,,
487,regular,1.0,1.0,1.0
488,relat,,4.0,
489,related,3.0,,3.0
490,relates,1.0,,1.0
491,replac,,2.0,
492,replace,2.0,,2.0
493,repo,1.0,1.0,1.0
494,report,3.0,6.0,6.0
495,reports,3.0,,
496,repositori,,2.0,
497,repository,2.0,,2.0
498,represent,,1.0,
499,representation,,,1.0
500,representations,1.0,,
501,requir,,11.0,
502,require,2.0,,2.0
503,required,1.0,,1.0
504,requirement,3.0,,7.0
505,requirements,4.0,,
506,requires,1.0,,1.0
507,restaur,,1.0,
508,restaurant,1.0,,1.0
509,result,1.0,3.0,3.0
510,results,2.0,,
511,ride,2.0,2.0,2.0
512,right,18.0,18.0,18.0
513,road,1.0,1.0,1.0
514,robot,1.0,1.0,1.0
515,room,2.0,2.0,2.0
516,rubric,1.0,1.0,1.0
517,run,3.0,3.0,3.0
518,sabido,1.0,1.0,1.0
519,said,3.0,3.0,3.0
520,samantha,,1.0,
521,samanthas,1.0,,1.0
522,samsung,1.0,1.0,1.0
523,saturn,1.0,1.0,1.0
524,say,6.0,10.0,8.0
525,saying,2.0,,2.0
526,says,2.0,,
527,scheme,1.0,1.0,1.0
528,scratch,1.0,1.0,1.0
529,screen,2.0,2.0,2.0
530,screenshot,2.0,3.0,2.0
531,screenshots,1.0,,1.0
532,second,1.0,1.0,1.0
533,see,2.0,2.0,2.0
534,seen,1.0,1.0,1.0
535,sell,1.0,1.0,1.0
536,sens,,2.0,
537,sense,2.0,,2.0
538,separ,,2.0,
539,separate,2.0,,2.0
540,session,1.0,1.0,1.0
541,set,1.0,2.0,1.0
542,setting,,,1.0
543,settings,1.0,,
544,setup,1.0,1.0,1.0
545,sex,1.0,1.0,1.0
546,share,2.0,2.0,2.0
547,sharon,1.0,1.0,1.0
548,shoe,,1.0,1.0
549,shoes,1.0,,
550,shoulder,1.0,1.0,1.0
551,show,2.0,2.0,2.0
552,similar,1.0,1.0,1.0
553,simul,,1.0,
554,simulator,1.0,,1.0
555,sinc,,2.0,
556,since,2.0,,2.0
557,sing,1.0,1.0,1.0
558,singl,,1.0,
559,single,1.0,,1.0
560,slightli,,1.0,
561,slightly,1.0,,1.0
562,sohrab,1.0,1.0,1.0
563,solo,1.0,1.0,1.0
564,solon,1.0,1.0,1.0
565,someth,,3.0,
566,something,3.0,,3.0
567,son,1.0,1.0,1.0
568,song,1.0,1.0,1.0
569,soon,1.0,1.0,1.0
570,sort,2.0,2.0,2.0
571,soul,1.0,1.0,1.0
572,sound,3.0,4.0,4.0
573,soundboard,1.0,1.0,1.0
574,sounds,1.0,,
575,southern,1.0,1.0,1.0
576,spend,,1.0,
577,spending,1.0,,1.0
578,spring,,1.0,1.0
579,springfield,1.0,1.0,1.0
580,springs,1.0,,
581,stand,1.0,2.0,2.0
582,stands,1.0,,
583,start,1.0,4.0,1.0
584,started,3.0,,3.0
585,state,2.0,2.0,2.0
586,step,,1.0,1.0
587,stephani,,1.0,
588,stephanie,1.0,,1.0
589,steps,1.0,,
590,still,2.0,2.0,2.0
591,stop,4.0,5.0,4.0
592,stopped,1.0,,1.0
593,stori,,1.0,
594,stories,1.0,,
595,story,,,1.0
596,strength,1.0,1.0,1.0
597,student,,1.0,1.0
598,students,1.0,,
599,stuff,2.0,2.0,2.0
600,submiss,,2.0,
601,submission,2.0,,2.0
602,submit,1.0,3.0,1.0
603,submitting,2.0,,2.0
604,suffici,,1.0,
605,sufficient,1.0,,1.0
606,summat,,1.0,
607,summation,1.0,,1.0
608,suppos,,1.0,
609,supposed,1.0,,1.0
610,sure,11.0,11.0,11.0
611,system,4.0,4.0,4.0
612,take,4.0,5.0,4.0
613,taking,1.0,,1.0
614,talk,2.0,2.0,2.0
615,teammat,,1.0,
616,teammate,,,1.0
617,teammates,1.0,,
618,tell,,1.0,1.0
619,tells,1.0,,
620,test,2.0,5.0,2.0
621,testing,3.0,,3.0
622,text,3.0,4.0,4.0
623,texts,1.0,,
624,thank,1.0,1.0,1.0
625,that,,10.0,
626,thats,10.0,,10.0
627,there,,6.0,6.0
628,theres,6.0,,
629,thing,6.0,10.0,10.0
630,things,4.0,,
631,think,3.0,3.0,3.0
632,though,1.0,1.0,1.0
633,thunder,1.0,1.0,1.0
634,tim,1.0,1.0,1.0
635,time,3.0,3.0,3.0
636,toboggan,,1.0,1.0
637,toboggans,1.0,,
638,today,1.0,2.0,2.0
639,todays,1.0,,
640,togeth,,2.0,
641,together,2.0,,2.0
642,tonight,6.0,6.0,6.0
643,tower,1.0,1.0,1.0
644,trivial,1.0,1.0,1.0
645,tub,2.0,2.0,2.0
646,turtl,,1.0,
647,turtle,1.0,,1.0
648,twitter,,1.0,1.0
649,twitters,1.0,,
650,two,1.0,1.0,1.0
651,uc,,1.0,
652,ucs,1.0,,1.0
653,unit,1.0,1.0,1.0
654,usa,1.0,1.0,1.0
655,usabl,,1.0,
656,usable,1.0,,1.0
657,use,,4.0,
658,used,2.0,,2.0
659,useful,1.0,,1.0
660,user,1.0,1.0,1.0
661,using,1.0,,1.0
662,usual,1.0,1.0,1.0
663,video,4.0,6.0,6.0
664,videos,2.0,,
665,visual,1.0,1.0,1.0
666,want,4.0,4.0,4.0
667,war,1.0,1.0,1.0
668,way,5.0,5.0,5.0
669,weather,1.0,1.0,1.0
670,websit,,1.0,
671,website,1.0,,1.0
672,week,5.0,8.0,8.0
673,weeks,3.0,,
674,weight,1.0,1.0,1.0
675,welcom,,1.0,
676,welcome,1.0,,1.0
677,well,5.0,5.0,5.0
678,wentzvil,,1.0,
679,wentzville,1.0,,1.0
680,weve,1.0,1.0,1.0
681,what,,2.0,
682,whatev,,3.0,
683,whatever,3.0,,3.0
684,whats,2.0,,2.0
685,window,,1.0,1.0
686,windows,1.0,,
687,witch,,1.0,1.0
688,witches,1.0,,
689,word,1.0,2.0,2.0
690,words,1.0,,
691,work,4.0,4.0,4.0
692,worstcas,,1.0,
693,worstcase,1.0,,1.0
694,would,7.0,7.0,7.0
695,wow,1.0,1.0,1.0
696,write,1.0,1.0,1.0
697,wrong,2.0,2.0,2.0
698,xbox,1.0,1.0,1.0
699,ye,,4.0,
700,yeah,2.0,2.0,2.0
701,year,1.0,1.0,1.0
702,yep,1.0,1.0,1.0
703,yes,4.0,,4.0
704,yoko,1.0,1.0,1.0
705,your,,4.0,
706,youre,4.0,,4.0
