file_name,bloom_level,wt_num,stem_num,lem_num,weight,variance
Debug2311-s1-full,evaluate,1,1,1,2.0,0.0
design,evaluate,1,2,2,1.6666666666666667,0.0
EECS_2311_Project_[EECS2311]_content,evaluate,3,4,3,5.666666666666667,0.5580489988532434
EECS_2311_Project_[EECS2311]_new_requirements,evaluate,3,3,3,5.333333333333333,0.5466517401417469
eecs_2311_team_expectations_agreement,evaluate,1,1,1,1.0,0.0
GitInEclipse-s1-full,evaluate,1,1,1,1.0,0.0
git,evaluate,1,2,1,2.6666666666666665,0.408248290463863
junit,evaluate,1,1,1,57.666666666666664,0.14748382453379275
midtermsubmission,evaluate,1,2,1,4.0,0.5443310539518174
projintro,evaluate,1,3,2,7.333333333333333,0.7041787902195303
TestCoverage-s1-full,evaluate,1,1,1,34.0,0.37550427455305013
TestFX-s1-full,evaluate,3,3,3,35.0,1.286428373126026
video1070436446-s1-full,evaluate,2,2,2,4.0,0.7745966692414834
video1093009770-s1-full,evaluate,0,1,0,1.0,
video1161828255-s1-full,evaluate,1,1,1,8.0,0.0
video1263128755-s1-full,evaluate,2,2,2,2.0,0.0
video1592612799-s1-full,evaluate,0,2,0,2.0,0.0
video1652578959-s1-full,evaluate,1,2,1,7.333333333333333,0.7496555682941201
video1766812555-s1-full,evaluate,1,2,1,1.3333333333333333,0.0
video1767379574-s1-full,evaluate,1,2,1,3.6666666666666665,0.8063111936757619
video1860539589-s1-full,evaluate,3,5,3,6.666666666666667,0.4806245936279166
video2621708691-s1-full,evaluate,4,4,4,11.666666666666666,0.6612519749664508
codecoverage,create,0,1,0,1.0,
Course_Outline_[EECS2311]_content,create,5,7,6,26.666666666666668,0.6136319072921965
Course_Outline_[EECS2311]_week_10_due,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_10_lab_tasks,create,0,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_10_study_material,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_10_weekly_goals,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_11_due,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_11_weekly_goals,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_2_lab_tasks,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_2_weekly_goals,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_3_lab_tasks,create,2,2,2,4.0,0.5477225575051661
Course_Outline_[EECS2311]_week_3_study_material,create,1,1,1,1.3333333333333333,0.4330127018922193
Course_Outline_[EECS2311]_week_3_weekly_goals,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_4_lab_tasks,create,1,1,1,1.3333333333333333,0.4330127018922193
Course_Outline_[EECS2311]_week_4_study_material,create,0,1,0,1.0,
Course_Outline_[EECS2311]_week_4_weekly_goals,create,0,1,0,1.0,
Course_Outline_[EECS2311]_week_5_weekly_goals,create,0,1,0,1.0,
Course_Outline_[EECS2311]_week_8_study_material,create,1,3,1,2.6666666666666665,0.34232659844072877
Course_Outline_[EECS2311]_week_8_weekly_goals,create,3,3,3,4.0,0.375
Course_Outline_[EECS2311]_week_9_lab_tasks,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_9_study_material,create,1,1,1,1.0,0.0
Course_Outline_[EECS2311]_week_9_weekly_goals,create,1,2,1,1.3333333333333333,0.0
Debug2311-s1-full,create,1,1,1,1.3333333333333333,0.4330127018922193
design,create,2,3,2,11.666666666666666,0.7659416862050705
